Name,Ratings,Review,Cost(₹)
ashok tripathi,4.0 out of 5 stars,"
Warranty Card doesn't have stamp of any of your connected service providers to facilitate customer to get any service in case of any need. Warranty card demands stamp.Immediate solution to mandatory need of warranty card is to sorted out at the earliest. Enclosed bill is illegible &warranty card in case of problem would ask to original bill.
",1165.0
Aaron Chameilo,5.0 out of 5 stars,"
The watch is as promised. Pocket friendly and with the wave look in vogue couldn't be any happier. Also worth noting is the delivery, ordered it around 11p.m at night and with free one day delivery received it by 8a.m in the morning. Much impressed
",1165.0
Dr R.,5.0 out of 5 stars,"
It is indeed a very good product for the price and is an accurate watch with a good timer function last but not least value for money.
",1165.0
SPP,5.0 out of 5 stars,"
Fantastic product. Makes you feel nostalgic and reminds you of the good old days in college when these type of watches were a rage.For some, the dial would seem fairly small as compared to today's big dial watches. However, it is simple, elegant and easy to use. Good value for money. Delivery was super fast. Kudos to Amazon.
",1165.0
Amazon Customer,1.0 out of 5 stars,"
I ordered this product gift a teacher for rakhi bondhon but this product already stoped and the battery is not working. So I am very sad for this matter
",1165.0
Palak Soni,5.0 out of 5 stars,"
Well, The dial is little bit smaller then I expected but Its good & This is very light weight, you'll not feel you have wear a watch or not.Didn't encountered with water so can't tell about it.Anyways I'm happy with this product. Vintage never goes out of Fashion.
",1165.0
Somnath Banerjee,4.0 out of 5 stars,"
Good.Very lightweight.Although it is Made in China but good.2 years warranty.
",1165.0
Amazon Customer,1.0 out of 5 stars,"
Received broken box. It was definitely shipped broken as the broken pieces were missing in the package.The watch definitely brings back old memories. The strap is steel and case is fibre with steel coating I believe.
",1165.0
S G,5.0 out of 5 stars,"
Excellent product with very good packaging. Do not know how other's gave one star. The product is 1:1 as shown in the specification and quite well built though light weight. I have a heavy wrist and it looks quite good.
",1165.0
Amazon Customer,3.0 out of 5 stars,"
The watch is wayyyyy too small then it looks in the pics here. Its not bad. Im sure its a good watch but its small. Like real smal.
",1165.0
Amazon Customer,5.0 out of 5 stars,"
If you want an important piece of horology on your wrist, this is a watch to go for. This watch has historical importance and looks dapper. Trust me, when you'd go out with this watch on your wrist, people are going to ask you about it.Or if you don't care, you can buy that worthless Daniel Wellington.
",1165.0
sunshine,5.0 out of 5 stars,"
This is best.The screen is clear even in dim light condition.No resin strap issues anymore.Battery is easily available and cheap too.Battery may last more than mentioned,  if no alarm is used or when light function is used rarely.
",1165.0
Sandeep B.,5.0 out of 5 stars,"
Best small indestructible digital watch in the world. Good for those with thin wristsA real classic
",1165.0
HEMANT,4.0 out of 5 stars,"
I really like this watch. It makes me nostalgic. In the past i used the same model for about ten year and the experience was very good.Hope i will have the same experience with this one.
",1165.0
M. K. Luwang,5.0 out of 5 stars,"
 Wonderful ! Looks perfect ! Always wanted this since my childhood now I've got it. It's a little small but okay with my hand.
",1165.0
Amazon Customer,5.0 out of 5 stars,"
Can't keep my wrist empty and this watch is beautiful and have a retro look just take me back to my olds days. Moreover people around me have amazing response to this product, they smile.
",1165.0
Suraj Bhandari,5.0 out of 5 stars,"
Best looking watch at this price, be it for regular wear-tear or a casual reception or a office meeting. Straps can be adjusted at home itself, easy to set the time, the shine lasts forever, water resistant(however I dived in the pool wearing this, still works)
",1165.0
HK,5.0 out of 5 stars,"
This watch takes you back in time.The built quality is not as close as the old casio watch used to come with.A nostalgic watch really more than anything else.But would have preferred a better build quality which of course would make it a little expensive.
",1165.0
Mr. B N R NAYAK,5.0 out of 5 stars,"
This is really a vintage watch similar to one which I used wear during seventies and eighties with pride. This has really revived my old memories. After all Casio is Casio.
",1165.0
Amit Singh,5.0 out of 5 stars,"
Vintage collection simply outstanding
",1165.0
kram1969,3.0 out of 5 stars,"
Watch dial size is very very small and it looks like a toy watch..I was much disappointed on seeing the watch But I thank Amazon for accepting the return and immediately initiating refund process..My advice is buy this watch only if you are comfortable with a small size display
",1165.0
John,5.0 out of 5 stars,"
I am not sure any water resistance but product dial is small and fit on my thin wrist. Thank you Amazon!
",1165.0
aerowatt,4.0 out of 5 stars,"
Classic Casio- however the strap comes off often - maybe Casio can increase the price and get better quality straps
",1165.0
Rajesh,5.0 out of 5 stars,"
Light weight nice look watch, its vintage style remember old memory thank you casio and amazon
",1165.0
Jacob M Joseph,5.0 out of 5 stars,"
Super tough been using these watches at sea for more than 5 years. This along with plastic strap variant is the most common wristwatch you will find onboard merchant vessels at sea. If you do manage to make one give up the ghost some how, they are cheap as chips to replace.
",1165.0
Amazon Customer,5.0 out of 5 stars,"
The strip looks big in the picture. But it is small actually. But the watch is great. Light weight, display is bright. Overall a good vintage watch good addition to my watch collection.
",1165.0
venkatesh hegade,4.0 out of 5 stars,"
An all time classic. This watch can literally go on with any outfit. The bracelet occassionally pulls hair which is expected. Genuine product. Don't forget to register it on Casio website.
",1165.0
RAJ KUMAR,5.0 out of 5 stars,"
Bought for my father...he is very happy with quality of watchGood
",1165.0
Amazon Customer,5.0 out of 5 stars,"
The watch is awesome and as expected. Its so light weight that I also wear it while playing squash and badminton. The good part is the strap is adjustable and can be adjusted as per the need. It's worth.
",1165.0
Jai,1.0 out of 5 stars,"
I returned it in the first look ; very small ; not suitable for men...may be small boys...
",1165.0
Hemant Sharma,5.0 out of 5 stars,"
It's too small and not value for money not satisfied with the Casio watch and cloudtail even didn't provide original box of Casio watch very poor watch
",1165.0
Avneet kaswan,5.0 out of 5 stars,"
Well this watch goes with more of a classic outfits rather than funky one's. I am a 6 ft 2 person and heavy build still it looks good on me instead of being a little slim, the price range is brilliant and it is totally worth it. Just buy, you won't regret it
",1165.0
Karunakar Rao ,5.0 out of 5 stars,"
Bought it months back!Been wearing it continuously and have noticed no change in colour, no visible scratches and is light weighted.However, yet to learn various functions like setting of time, time formats, etc.Would recommend this product.
",1165.0
Ganesh Subbaraman,5.0 out of 5 stars,"
Simple watch. Have been using it for about 2 months now... Suits well with casual wear... People actually ask how old is the watch 😆😆It's an excellent piece of time
",1165.0
ankur sharma,5.0 out of 5 stars,"
Product as Described. If you are old school. This is a must have. Go for it blindly.
",1165.0
Yet Another Amz Customer ,1.0 out of 5 stars,"
Casio is not accepting the warranty registration. Seems to be a fake product
",1165.0
SUJIT SARKAR,2.0 out of 5 stars,"
This product is not working now, 24.09.19, after buying on 21.11.17. How can I claim the refund or exchange the watch.
",1165.0
nandita barua,4.0 out of 5 stars,"
I am using the watch and liking it. But this is not the original Japanese item I surmise. Anyway let me wait and see how far it is a good product. I have not yet got enough time to taste it's different functions.
",1165.0
Rajesh,5.0 out of 5 stars,"
Simple and elegant watch. Gives u a classic look. Using from past 1 year. No issues yet.Recently I have noticed that Allu Arjun wearing same watch in his upcoming movie 😍😍⌚
",1165.0
Amazon Customer,5.0 out of 5 stars,"
Look great, good build quality.Will be little small if you have bid wrists.I got it for around 750/-, at the sale
",1165.0
ROHIT AHIR,3.0 out of 5 stars,"
The quality of strap is not good. also the wrist tie up option is not good. If not done properly watch may fall and broke. No handy for aged people due to this discomfort.
",1165.0
Amazon Customer,5.0 out of 5 stars,"
Good small wrists. When I open this package I feel that product smaller than I thought
",1165.0
Salih,5.0 out of 5 stars,"
It's an excellent product from Casio. It gives me nostalgic feeling when I wear it. Thank you Casio and Amazon.
",1165.0
Priyanka Sahu ,5.0 out of 5 stars,"
Nice product very lightweight
",1165.0
Koteswara Prasad,5.0 out of 5 stars,"
Vow! İ have fossil. Diesel and lot more collections. But this watch is unique!! Even its a small watch , still , it fits every wrist. Simple and apt time teller. Thanks to amazon!
",1165.0
K P Ganesh,5.0 out of 5 stars,"
Its a beatiful watch.Amazon was impressive with prompt delivery.I am happy with the product.Always wanted this wristwatch since my college days 35years back.
",1165.0
AKASH R.,5.0 out of 5 stars,"
Fantastic renovation of an old classic..!!!!
",1165.0
Aninda Shankar Guha,2.0 out of 5 stars,"
The product is showing made of CASIO, but the backing comes in 3rd part .Rest no need to describe..., all people's knows.
",1165.0
Abhishek,5.0 out of 5 stars,"
I wish it had water resistance of 30m or 10m atleast like its present in other models but its worth the money and I love the looks. Just for it if you are into vintage looks and small dials.Strictly not for big wrist.
",1165.0
Abhishek Verma,5.0 out of 5 stars,"
Best watch than others. Value price. Best thing is 10 year battery backup. Almost 2 year is past but it's battery is continuing...
",1165.0
M. Satya,4.0 out of 5 stars,"
Too small but, classy, features are good for a small case/dial.....
",1165.0
Hari Menon,5.0 out of 5 stars,"
The light is a little out of place.Make is good.But a good watch for the price and a nostalgic feeling from the retro age.
",1165.0
Amazon customer,4.0 out of 5 stars,"
Good product.easey function.light is very dim only.othewise it's good product.
",1165.0
javeeddawalji,5.0 out of 5 stars,"
Not original casio original made for malisha this is fast cope
",1165.0
bindhya,5.0 out of 5 stars,"
TOO GOOD  ROUGH AND TOUGH  FOR  SCHOOL GOING  KIDS.
",1165.0
Amazon Customer,5.0 out of 5 stars,"
Watch is very good but the weight of the watch is less then my expectation.Overall quality is perfect and band material also good.Old memories made fresh with the watch. :)
",1165.0
HikeAngel,5.0 out of 5 stars,"
Excellent watch with all the necessary functions IE Month, date, alarm, stopwatch and green light to see the time in dark. But those who like big dials or heavy watches may not like it .
",1165.0
Amazon Customer,1.0 out of 5 stars,"
I am not at happy with the watch.I was charged more than the actual price.I will never recommend this watch.
",1165.0
Amit,5.0 out of 5 stars,"
Looks excellent and of very good quality. The illuminated light is dim but overall an excellent watch
",1165.0
Amazon Customer,5.0 out of 5 stars,"
Perfect product. Though the watch is not as huge as the new trends but it's adequate. Light and 100 genuine. Ppl with hairy arms might face issues.
",1165.0
vivek bhadoria,5.0 out of 5 stars,"
Got it delivered in less than 24hrs from Cloudtail. Didn't bought it for design like most, but for the sake of vintage memories. And yeah, the dail size is small so is the strap. But I just love it.
",1165.0
